start,dest,longitude0,latitude0,longitude1,latitude1,the_geom,cartodb_id,created_at,updated_at
"-6.254549777,53.4286802","8.5618685,47.4524688",-6.254549777,53.4286802,8.5618685,47.4524688,0102000020E61000000200000027AD5DB2A80419C0ACB827FEDEB64A401E4E603AAD1F2140ED3A657FEAB94740,42,2015-08-14 10:04:32.223356+00,2015-08-16 12:05:52.771039+00
"6.762049131,51.28723045","8.5618685,47.4524688",6.762049131,51.28723045,8.5618685,47.4524688,0102000020E610000002000000635C7E9B560C1B402B95A6F7C3A449401E4E603AAD1F2140ED3A657FEAB94740,43,2015-08-14 10:04:32.223356+00,2015-08-16 12:05:52.771039+00
"55.3730563,25.2514165","8.5618685,47.4524688",55.3730563,25.2514165,8.5618685,47.4524688,0102000020E6100000020000008C08104FC0AF4B40BF2CEDD45C4039401E4E603AAD1F2140ED3A657FEAB94740,44,2015-08-14 10:04:32.223356+00,2015-08-16 12:05:52.771039+00
"-74.17725475,40.68906405","6.1089,46.2369",-74.17725475,40.68906405,6.1089,46.2369,0102000020E610000002000000E2934E24588B52C0B6CC3340335844403A234A7B836F184011363CBD521E4740,45,2015-08-14 10:04:32.223356+00,2015-08-16 12:05:52.771039+00
"-74.17725475,40.68906405","8.5618685,47.4524688",-74.17725475,40.68906405,8.5618685,47.4524688,0102000020E610000002000000E2934E24588B52C0B6CC3340335844401E4E603AAD1F2140ED3A657FEAB94740,46,2015-08-14 10:04:32.223356+00,2015-08-16 12:05:52.771039+00
"12.22693696,41.81435465","76.932679,31.5469686",12.22693696,41.81435465,76.932679,31.5469686,0102000020E61000000200000046E8CA14317428403A8CEEC53CE844409FAA4203B13B53405CF05822068C3F40,47,2015-08-14 10:04:32.223356+00,2015-08-16 12:05:52.771039+00
"12.22693696,41.81435465","6.1089,46.2369",12.22693696,41.81435465,6.1089,46.2369,0102000020E61000000200000046E8CA14317428403A8CEEC53CE844403A234A7B836F184011363CBD521E4740,48,2015-08-14 10:04:32.223356+00,2015-08-16 12:05:52.771039+00
"12.22693696,41.81435465","8.5618685,47.4524688",12.22693696,41.81435465,8.5618685,47.4524688,0102000020E61000000200000046E8CA14317428403A8CEEC53CE844401E4E603AAD1F2140ED3A657FEAB94740,49,2015-08-14 10:04:32.223356+00,2015-08-16 12:05:52.771039+00
"11.2009384,43.8021781","8.5618685,47.4524688",11.2009384,43.8021781,8.5618685,47.4524688,0102000020E6100000020000006905E165E1662640A188A0C5ADE645401E4E603AAD1F2140ED3A657FEAB94740,50,2015-08-14 10:04:32.223356+00,2015-08-16 12:05:52.771039+00
"-16.77397082,32.6979742","8.5618685,47.4524688",-16.77397082,32.6979742,8.5618685,47.4524688,0102000020E61000000200000053F59FF322C630C0D339F537575940401E4E603AAD1F2140ED3A657FEAB94740,51,2015-08-14 10:04:32.223356+00,2015-08-16 12:05:52.771039+00
"8.5570492,50.042758","76.932679,31.5469686",8.5570492,50.042758,76.932679,31.5469686,0102000020E610000002000000A386808D351D214039D21918790549409FAA4203B13B53405CF05822068C3F40,52,2015-08-14 10:04:32.223356+00,2015-08-16 12:05:52.771039+00
"8.5570492,50.042758","22.71972485,47.3312395",8.5570492,50.042758,22.71972485,47.3312395,0102000020E610000002000000A386808D351D214039D219187905494056DE44E33FB836405BD2510E66AA4740,53,2015-08-14 10:04:32.223356+00,2015-08-16 12:05:52.771039+00
"8.5570492,50.042758","6.1089,46.2369",8.5570492,50.042758,6.1089,46.2369,0102000020E610000002000000A386808D351D214039D21918790549403A234A7B836F184011363CBD521E4740,54,2015-08-14 10:04:32.223356+00,2015-08-16 12:05:52.771039+00
"8.5570492,50.042758","8.5618685,47.4524688",8.5570492,50.042758,8.5618685,47.4524688,0102000020E610000002000000A386808D351D214039D21918790549401E4E603AAD1F2140ED3A657FEAB94740,55,2015-08-14 10:04:32.223356+00,2015-08-16 12:05:52.771039+00
